Date,Time (UTC-7),Site,Flow (m3/s),Water Temp (°C),SpC (µS/cm),pH,DOC (mg/L),Sulphate (mg/L),Mg (mg/L),Ca (mg/L),Area (Km2)
2019-07-14,18:17,Km 44,0.0465,7.7,91.1,7.42,0.4,20.7459,3.9,14.4,5.5406
2019-08-03,16:40,Km 44,0.0193,8.5,91,7.09,1.2,20.2089,4.2,14.4,5.5406
2019-08-07,10:35,Km 44,0.0585,,,,0.6,21.7056,4,14.4,5.5406
2019-08-22,16:40,Km 44,0.03711,4.6,91.3,7.12,0.5,23.0658,4.1,14.6,5.5406
2019-09-27,12:20,Km 44,,0.6,92.1,7.22,0.9,22.7646,3.7,13.4,5.5406
2019-09-27,11:20,Km 44,,0.6,92.1,7.22,1.1,24.342,4.2,15,5.5406
2019-11-05,16:32,Km 44,,-0.1,126.9,7.69,0.9,23.3,4.7,15.3,5.5406
2020-05-29,10:20,Km 44,0.7012,2.5,53.6,6.74,1.1,8.4,2.2,8.4,5.5406
2020-06-18,10:00,Km 44,0.41256,,,,0.4,9.8,2.2,8.5,5.5406
2020-06-30,18:40,Km 44,0.253,4.9,72.6,6.41,1.5,15,3.2,11.8,5.5406
2020-07-03,14:50,Km 44,0.19563,5,76.6,6.57,2.1,15.6,3.3,12.2,5.5406
2020-07-16,,Km 44,0.1,,,,0.6,17.3,3.5,12.6,5.5406
2020-07-17,12:21,Km 44,0.0647,6.1,82.7,7.39,0.4,16.7,3.4,12.2,5.5406
2020-07-25,17:44,Km 44,0.08798,6.6,78,7.03,0.9,17,3.6,13.2,5.5406
2020-07-27,18:30,Km 44,0.15367,6.7,69.3,7.66,0.9,16.5,3.7,11.6,5.5406
2020-08-10,17:54,Km 44,0.09041,6.5,85.2,7.21,0.8,18.6,3.9,13.8,5.5406
2020-08-13,08:45,Km 44,0.09317,5.9,85.2,7.42,0.9,17.2,3.2,12.5,5.5406
2020-08-18,17:45,Km 44,0.06725,6.75,89,7.72,0.9,18.6,3.5,13.4,5.5406
2020-08-29,16:35,Km 44,0.10472,6.6,82.7,7.47,0.7,17,3.4,13.3,5.5406
2020-09-17,17:51,Km 44,0.038044,4.6,91.1,7.39,0.7,20.8,3.7,13.6,5.5406
2020-09-17,17:51,Km 44,0.038044,4.6,91.1,7.39,0.9,20.3,3.8,13.7,5.5406
2020-10-28,17:56,Km 44,0.351,0.2,100.2,7.67,0.7,22.6,4.4,15.2,5.5406
2021-03-31,17:04,Km 44,,-0.1,111.2,7.87,0.4,26.8,4.6,15.7,5.5406
2021-05-11,16:35,Km 44,0.143,-0.2,55.2,,3.4,9.1,2.5,13.1,5.5406
2021-05-28,08:48,Km 44,0.124,0.1,71.7,7.61,1,13.6,2.9,10.9,5.5406
2021-06-06,18:25,Km 44,0.4137,3.3,54.8,7.26,1,10.1,2.2,8.5,5.5406
2021-06-24,11:23,Km 44,0.21,5,61.5,7.73,0.5,13.9878,2.5061,9.4338,5.5406
2021-07-08,17:43,Km 44,0.083,6,82.6,7.96,0.5,20.3979,3.4853,12.6002,5.5406
2021-07-22,18:10,Km 44,,7.9,91.6,7.62,0.5,18.3318,3.6213,13.3429,5.5406
2021-07-24,16:08,Km 44,0.048,7.8,92.5,7.77,0.4,20.3589,3.7807,14.2175,5.5406
2021-08-01,11:05,Km 44,0.0475,7.4,92.9,7.62,0.4,19.8732,3.7831,13.9073,5.5406
2021-08-11,17:44,Km 44,0.16,6.8,71.8,7.51,0.5,15.1866,2.8593,10.8551,5.5406
2021-08-27,13:01,Km 44,0.233,5.3,73.9,7.38,0.7,15.4038,3.0235,11.4015,5.5406
2021-09-06,16:40,Km 44,0.26,5.6,69.9,7.4,0.5,15.2508,2.8757,10.7304,5.5406
2021-09-20,16:54,Km 44,0.097,3,91.5,7.61,0.4,20.3658,3.5114,13.7807,5.5406
2021-11-03,16:00,Km 44,0.023,-0.3,104,7.71,0.6,19.5,3.1,12.1,5.5406
2022-05-11,18:55,Km 44,0.001,-0.2,82.9,,5.9,23.8,2.9,10.6,5.5406
2022-05-21,19:55,Km 44,0.07057,-0.2,69.4,,7,10.6,2.3,8.9,5.5406
2022-05-31,19:40,Km 44,0.67589,0,40.3,,,4.4,1,4.8,5.5406
2022-06-07,19:25,Km 44,0.87,,,,1,3.6,1,5.4,5.5406
2022-06-07,19:15,Km 44,0.87,2.5,41.4,,1,3.7,1,5.5,5.5406
2022-06-26,16:55,Km 44,0.239001341,5.4,61,,0.6,7.9,1.8,7.9,5.5406
2022-08-19,16:15,Km 44,0.180181538,5.9,73.1,7.39,0.5,11.8,2.1,9.2,5.5406
2022-09-02,19:55,Km 44,0.141,5,85,7.47,0.5,15.3,1.8,5.9,5.5406
2022-09-06,20:00,Km 44,0.197593116,4.7,74.9,7.41,0.6,20.8,2.3,9.5,5.5406
2022-09-09,17:05,Km 44,0.197454275,4.8,79.3,7.55,0.6,14.9,2.3,10,5.5406
2022-09-21,10:55,Km 44,0.219,3.3,81.7,7.38,0.7,14.7,2.4,10.7,5.5406
2019-04-29,15:30,Km 71,,-0.1,1607,7.64,1.5,952.6332,139.5,179.5,16.4776
2019-05-29,22:00,Km 71,,4.8,640,7.49,21.4,323.4564,46.8,75.1,16.4776
2019-06-10,22:00,Km 71,,7,1031,7.76,3.5,575.4858,87,127.2,16.4776
2019-07-08,01:00,Km 71,,,,,0.7,756.7485,109.4,173.8,16.4776
2019-07-17,09:40,Km 71,0.1498,5.1,1270,8.15,0.8,716.7279,108.7,169.2,16.4776
2019-08-07,09:59,Km 71,0.1682,4.9,1796,,0.7,835.56,117.3,189.4,16.4776
2019-08-22,19:48,Km 71,,4.9,1365,8.05,0.7,862.8696,118.9,193.5,16.4776
2019-09-26,20:55,Km 71,,1.1,1324,7.9,2.5,804.2952,118.3,186.2,16.4776
2019-11-05,15:59,Km 71,,-0.2,2405,7.84,1.2,809.7,121,177.8,16.4776
2020-06-30,22:00,Km 71,0.633,4.1,920,7.44,14.2,466.6,68.6,110.5,16.4776
2020-07-03,22:02,Km 71,0.562,2.7,965,7.78,14,494.2,75.6,117.7,16.4776
2020-07-16,17:02,Km 71,0.287,8,1158,7.87,3.8,580.5,88.3,136,16.4776
2020-07-25,19:01,Km 71,0.432,6.5,125.3,7.61,1.2,590.6,88.1,140.4,16.4776
2020-07-27,16:55,Km 71,0.462,6.2,1073,7.86,1.2,612.1,90.5,144.9,16.4776
2020-08-10,19:25,Km 71,0.471,6.1,1100,7.68,0.8,591.1,90.4,136.7,16.4776
2020-08-12,20:16,Km 71,0.475,6,1141,7.33,1,588.5,87.6,133.3,16.4776
2020-08-18,19:15,Km 71,0.386,7.07,1171,8.17,0.8,644.2,97.3,147.4,16.4776
2020-08-29,18:30,Km 71,0.521,6.3,1140,7.49,1.2,596.7,89.3,136.6,16.4776
2020-09-17,16:48,Km 71,0.333,4.7,1209,7.64,0.9,664.3,101.6,150.8,16.4776
2020-10-28,17:02,Km 71,,-0.2,1222.6,7.34,2.7,782.5,117.8,158.1,16.4776
2021-03-31,13:29,Km 71,,-0.2,1717,,0.8,1123,150.3,197.7,16.4776
2021-05-11,19:45,Km 71,0.334,-0.2,565,,7.2,263.5,40,46.1,16.4776
2021-05-28,10:35,Km 71,0.178,NA,NA,,2.2,401,60.2,73.6,16.4776
2021-05-28,10:35,Km 71,0.178,0.2,771,7.98,2.3,392.9,55.4,67.3,16.4776
2021-06-06,20:55,Km 71,0.874,4.1,476.1,7.62,1.7,227.8,32.9,51.2,16.4776
2021-06-24,09:30,Km 71,0.332,4.4,892,8.08,0.6,526.0014,65.9092,105.3031,16.4776
2021-07-08,20:40,Km 71,0.366,5,1054,8.08,0.7,606.6891,80.0955,126.4507,16.4776
2021-07-22,20:40,Km 71,0.195,8.4,1218,8.12,0.6,653.5191,94.0696,148.7462,16.4776
2021-07-30,20:45,Km 71,0.196,7.8,1269,8.03,,682.0542,100.1581,151.2723,16.4776
2021-08-11,21:32,Km 71,0.481,5.5,1125,7.98,0.7,636.8169,88.524,143.1717,16.4776
2021-08-13,08:48,Km 71,0.588,2.8,1025,7.96,1.2,590.5275,83.6138,136.3521,16.4776
2021-08-25,20:40,Km 71,0.38,5.3,1149,8.01,0.7,589.6527,87.8227,138.3173,16.4776
2021-09-06,21:14,Km 71,0.397,4.3,1165,8.03,0.9,622.7082,92.4664,145.0021,16.4776
2021-09-21,10:29,Km 71,0.214,0.1,1284,8.02,0.6,703.206,104.4469,157.9842,16.4776
2021-11-04,18:31,Km 71,,-0.2,1321,7.93,0.4,752.1,117.1,157.2,16.4776
2022-05-11,16:30,Km 71,0.02644,-0.1,1316,,4.2,616.5,96.9,123.3,16.4776
2022-05-20,20:55,Km 71,0.0874,-0.2,591,,11.5,261.1,42.3,53.3,16.4776
2022-05-21,17:30,Km 71,0.12,-0.2,557,,10.4,251.6,36.8,47,16.4776
2022-05-31,18:40,Km 71,1.2234,1.9,292.9,,4.4,112.8,18.6,24.8,16.4776
2022-06-02,14:30,Km 71,1.0632,3.5,353.1,,3.1,143.5,22.3,31,16.4776
2022-07-18,13:10,Km 71,0.5377,4.7,990,8.07,1,472.1,67.1,105.5,16.4776
2022-08-19,14:35,Km 71,1.1752,5.3,964,7.91,1,475.7,64.1,117.9,16.4776
2022-09-02,18:00,Km 71,0.3775,4.6,1173,8.13,0.7,580.8,83,131.6,16.4776
2022-09-06,18:15,Km 71,0.8811,4.3,1057,7.96,0.8,548.6,73.9,125,16.4776
2022-09-09,10:00,Km 71,,3,1073,7.99,0.7,539.6,79.3,123.5,16.4776
2022-09-17,10:30,Km 71,,1.7,1145,8.07,0.8,563,87.2,128.3,16.4776
2022-09-21,13:00,Km 71,0.4744,2.3,1150,8.03,0.7,578.6,89.1,128.9,16.4776
2018-08-30,14:30,Km 99,,2.7,216,7.95,8,93.4008,8.3713,52.1526,10.9694
2019-04-27,14:30,Km 99,,,,,17.8,1.4715,0.1,2,10.9694
2019-05-30,08:40,Km 99,0.3027,1.3,62.8,7.51,14.3,10.9599,1.9,11.7,10.9694
2019-05-31,16:05,Km 99,0.1546,4.3,80.5,7.36,12.6,16.3341,2.5,15.2,10.9694
2019-06-11,,Km 99,0.022,,,,6.2,55.5666,6.5,41.9,10.9694
2019-06-12,19:15,Km 99,0.029455,8.2,224.3,7.38,8,54.2688,6.6,41.2,10.9694
2019-07-08,,Km 99,0.031,,,,4.8,72.9192,9.6,63.6,10.9694
2019-07-15,10:42,Km 99,0.0134,6.6,299.6,7.64,5.6,70.9128,8.9,58.8,10.9694
2019-07-17,11:47,Km 99,0.0141,7,293.7,7.61,8,73.2723,8.9,54.7,10.9694
2019-08-04,10:30,Km 99,0.021365,7,280.9,7.66,7.7,72.8124,8.2,54.6,10.9694
2019-08-04,10:30,Km 99,0.021365,7,280.9,7.66,8,75.186,8.5,56.4,10.9694
2019-08-06,13:17,Km 99,0.0149,7.7,304.3,8.09,6.6,83.9787,8.5,58.5,10.9694
2019-08-23,11:50,Km 99,0.0307,2.8,262.1,,8.5,70.6989,8,52.6,10.9694
2019-09-26,19:18,Km 99,0.0264875,0.7,256.8,7.41,11,65.6052,7.8,53.2,10.9694
2019-11-05,15:10,Km 99,,-0.1,557,7.52,5.6,73.6,8.9,61.6,10.9694
2020-05-28,18:20,Km 99,1.752,0,29.5,6.3,8.3,2.7,0.9,5.8,10.9694
2020-06-17,15:00,Km 99,1.5,,,,13.8,15.1,2.5,14.1,10.9694
2020-07-01,11:38,Km 99,0.9329,2.5,83.2,7.15,16.2,17.7,2.8,15.7,10.9694
2020-07-03,12:40,Km 99,0.2954,3.5,153.2,7.27,10,40.5,5.1,27.5,10.9694
2020-07-16,15:15,Km 99,0.044,6.9,267,7.34,4.8,72.6,7.8,46.1,10.9694
2020-07-16,15:15,Km 99,0.044,,,,4.8,74.1,8.1,48,10.9694
2020-07-26,10:48,Km 99,0.05,4.8,260.4,7.31,3.5,78.1,8.8,50.6,10.9694
2020-07-27,15:25,Km 99,0.060218058,7,262.2,7.6,3.7,79,8.8,52,10.9694
2020-08-11,11:30,Km 99,0.121,5,227.2,7.32,6.8,53.6,6.2,38,10.9694
2020-08-12,18:09,Km 99,0.137432455,5.7,221.5,7.3,8.8,54,6.4,39,10.9694
2020-08-19,10:35,Km 99,0.09,3.74,250,7.8,6.6,63,7.5,43.4,10.9694
2020-08-30,10:00,Km 99,0.123,3.2,239.8,7.56,8.4,60.2,7.5,42.6,10.9694
2020-09-17,15:33,Km 99,0.062,3.3,271.5,7.39,6.8,74.4,8.5,48.8,10.9694
2020-10-28,15:35,Km 99,,-0.1,378.6,7.4,5.8,117.4,11.4,70.2,10.9694
2021-05-12,15:44,Km 99,0.2,-0.1,103.6,,18.4,39.2,3.2,12.7,10.9694
2021-05-27,18:38,Km 99,0.229,-0.2,53.7,7.22,11.5,13.2,1.7,8.7,10.9694
2021-06-07,20:38,Km 99,0.367,4.4,70.3,7.21,7.9,16.2,2.2,12.7,10.9694
2021-06-23,16:13,Km 99,0.232,7.7,139.5,7.48,9.9,40.9,4.2,22.3,10.9694
2021-07-09,18:00,Km 99,0.034,7.1,311.3,7.6,2.5,114.4926,9.8478,52.1252,10.9694
2021-07-23,17:10,Km 99,0.030029824,9.5,377.5,7.56,3.1,130.4052,10.7284,62.9247,10.9694
2021-07-30,17:13,Km 99,0.004,7.1,392.4,7.46,,132.7668,11.5348,69.7145,10.9694
2021-08-12,18:11,Km 99,0.072,5.7,264,7.58,6.4,78.5382,8.8964,43.3486,10.9694
2021-08-27,09:02,Km 99,0.086,3,250.2,7.59,6.7,71.9166,8.0675,44.7725,10.9694
2021-09-09,17:14,Km 99,0.043,4.6,303.7,7.72,4.9,78.1212,8.885,49.155,10.9694
2021-09-21,17:45,Km 99,0.021,0.4,341.2,7.75,4.3,108.5214,10.543,59.7976,10.9694
2021-11-04,16:36,Km 99,,-0.2,408.4,7.82,4.1,110,10.5,66.9,10.9694
2022-05-24,17:45,Km 99,0.015,-0.1,132.6,,24.5,48.5,3.9,11.7,10.9694
2022-05-31,17:15,Km 99,1.5969,0,30.1,,17.7,0.6,0.4,3.8,10.9694
2022-06-04,16:50,Km 99,1.0849,1.6,34.3,,,3.9,0.4,4.8,10.9694
2022-06-20,16:45,Km 99,0.6042,5.5,81.3,,10.1,13,1.7,12.4,10.9694
2022-06-20,16:35,Km 99,0.6042,,,,10.1,13.1,1.7,12.5,10.9694
2022-07-18,16:55,Km 99,0.4481,4.1,135.4,7.54,17.3,27.7,3.1,19.8,10.9694
2022-09-02,16:45,Km 99,0.0564,5.1,274.5,7.74,6.4,74.9,7.3,40.3,10.9694
2022-09-06,15:25,Km 99,0.165542369,3.7,196.4,7.48,12.8,51.4,5.2,30,10.9694
2022-09-09,15:50,Km 99,0.072657035,4.8,248.4,7.63,7.4,65.2,6.5,37.5,10.9694
2022-09-21,15:45,Km 99,0.1098,,,,7.7,69.4,6.7,36.4,10.9694
2022-09-21,15:45,Km 99,0.1098,2.2,252.8,7.62,8.2,74.5,7.4,38.3,10.9694
2017-04-27,11:45,WC_HWY,,0.99,194,8.07,,,,,169.392726
2017-05-05,14:00,WC_HWY,,2.25,196,8.11,,,,,169.392726
2017-05-12,16:00,WC_HWY,,3.93,157,7.99,,,,,169.392726
2017-05-23,12:00,WC_HWY,,3.29,134,7.94,,,,,169.392726
2017-05-29,10:15,WC_HWY,,5.58,170,8.18,,,,,169.392726
2017-06-09,14:00,WC_HWY,,9.96,145,8.11,,,,,169.392726
2017-06-29,16:34,WC_HWY,0.8877,9.92,338,7.98,,,,,169.392726
2017-07-13,15:45,WC_HWY,1.958,11.25,165,8.09,,,,,169.392726
2017-07-27,16:35,WC_HWY,1.4851,10.96,169,8.01,,,,,169.392726
2017-08-11,11:18,WC_HWY,,10.63,184,8.18,,,,,169.392726
2017-08-18,16:41,WC_HWY,0.9649,9.28,181,8.01,,,,,169.392726
2017-08-18,16:41,WC_HWY,0.9649,9.28,181,,,,,,169.392726
2017-08-25,15:34,WC_HWY,1.1534,9.15,171,,,,,,169.392726
2017-10-25,15:38,WC_HWY,0.496,,,,1.9,25.5,9.3,38.7,169.392726
2017-11-02,16:01,WC_HWY,0.411,,,,1.8,26.1,9.5,38.7,169.392726
2017-11-17,15:15,WC_HWY,0.473,-0.1,213.5,8.08,1.6,27.6,9.8,40.4,169.392726
2017-11-29,15:14,WC_HWY,0.524,,,,1.6,25.8,9.4,38.4,169.392726
2017-11-29,15:14,WC_HWY,0.524,-0.1,208.9,7.91,1.7,25.5,9.3,37.8,169.392726
2017-12-14,13:25,WC_HWY,0.528,-0.19,197,7.07,1.7,25.8,9.4,38.3,169.392726
2018-01-04,15:56,WC_HWY,0.352,-0.1,216.3,7.88,1.9,29.7,10.4,42.1,169.392726
2018-01-18,15:30,WC_HWY,0.448,0,220.9,6.68,1.6,28.8,10.3,46.6,169.392726
2018-01-31,16:00,WC_HWY,0.336,-0.1,226.2,6.55,1.6,30,10.5,43.2,169.392726
2018-02-16,15:08,WC_HWY,,-0.1,217.5,7.61,1.4,27.9,10.4,42.9,169.392726
2018-02-27,15:05,WC_HWY,,-0.1,214.1,7.89,1.3,29.7,10.4,42.8,169.392726
2018-03-16,10:53,WC_HWY,,0.2,211.3,7.71,1.2,30,10.4,42.6,169.392726
2018-04-12,14:46,WC_HWY,,0.3,222.3,7.75,1.3,36.3,10.8,43.9,169.392726
2018-05-02,11:18,WC_HWY,,0.8,214.7,7.88,2.9,28.5,10,39.7,169.392726
2018-05-10,11:35,WC_HWY,1.856699775,2.3,123.4,7.57,12.5,13.5,5.9,23.9,169.392726
2018-05-14,15:31,WC_HWY,1.903758807,4.3,113.4,7.61,9.9,11.4,5.3,21.7,169.392726
2018-05-16,11:15,WC_HWY,1.240398252,2,113.5,7.64,7.5,13.5,5.9,24.1,169.392726
2018-05-17,15:00,WC_HWY,1.286432336,5.7,126.7,7.54,6.7,12.9,5.7,23.4,169.392726
2018-06-11,14:20,WC_HWY,2.024840858,4.9,130.5,7.54,7.8,13.8,6,25.2,169.392726
2018-06-28,16:34,WC_HWY,1.219047068,10.6,167.7,7.87,2.9,18.9,7.7,32.8,169.392726
2018-07-05,17:24,WC_HWY,1.025743193,12.7,152.9,7.69,2.6,19.5,7.9,34.1,169.392726
2018-07-13,15:01,WC_HWY,0.915440122,10.4,143.4,7.74,2.4,19.8,8,33.6,169.392726
2018-07-24,15:46,WC_HWY,0.768774167,12.8,,7.83,2.4,20.4,8.3,35,169.392726
2018-07-24,15:46,WC_HWY,0.768774167,12.8,,7.83,2.7,20.7,8.4,35,169.392726
2018-08-07,16:27,WC_HWY,0.700807314,10.2,,7.38,2.1,21,8.7,36.2,169.392726
2018-08-22,15:30,WC_HWY,0.650739605,9.8,215.3,7.85,2.2,21.3,8.7,35.6,169.392726
2018-09-05,14:33,WC_HWY,0.661076135,7.6,184.1,7.66,2.3,21.9,8.8,35.5,169.392726
2018-09-13,14:55,WC_HWY,0.788132896,7.1,154.8,7.78,3,21,8.4,34,169.392726
2018-09-20,,WC_HWY,0.675724123,,,,2.1,22.2,8.7,35.3,169.392726
2018-10-05,14:40,WC_HWY,0.6069,2.3,187.6,8.1,1.8,22.8,8.7,34.6,169.392726
2018-10-26,14:20,WC_HWY,0.6418,0.4,184.5,7.94,1.9,24.3,9,35.6,169.392726
2018-11-09,15:21,WC_HWY,,0,219.7,8.25,2.1,32.4,9.9,39.5,169.392726
2018-11-20,15:22,WC_HWY,,0.1,189.7,8.29,2,24.9,9.3,37.6,169.392726
2018-12-05,16:40,WC_HWY,0.419,0,209.7,8.4,,,,,169.392726
2018-12-20,,WC_HWY,,,,,2,28.5,10.1,39.2,169.392726
2019-01-02,,WC_HWY,,,,,1.6,27.6,9.8,39.9,169.392726
2019-01-17,15:05,WC_HWY,,,,,2,28.8,10,40.6,169.392726
2019-01-31,14:45,WC_HWY,,,,,1.8,28.8,10,39.6,169.392726
2019-02-21,15:25,WC_HWY,,-0.1,224.4,7.74,1.4,29.7,10.2,41.6,169.392726
2019-03-05,16:04,WC_HWY,0.2135,-0.2,223.4,8.01,1.7,20.7,8.9,36.7,169.392726
2019-03-22,16:20,WC_HWY,,,,,1.7,20.7,8.7,34.9,169.392726
2019-03-28,11:00,WC_HWY,,-0.1,228.2,7.82,1.7,21.9,9.8,38.6,169.392726
2019-04-01,14:36,WC_HWY,,NA,NA,,1.7,20.4,9.5,37.9,169.392726
2019-04-01,14:36,WC_HWY,,0,221.1,8.38,1.8,21.9,9.5,37.9,169.392726
2019-04-09,16:18,WC_HWY,,0.4,217,8.12,3.1,20.1,9.3,37.3,169.392726
2019-04-13,17:11,WC_HWY,,0.1,215.6,7.91,2,20.7,9.3,37.4,169.392726
2019-04-18,11:33,WC_HWY,,0.6,215.3,8.02,2.1,19.2,9.3,37.6,169.392726
2019-04-24,15:30,WC_HWY,0.391841294,,,,1.8,21,9.6,38.3,169.392726
2019-04-30,,WC_HWY,0.380174546,,,,2,19.2,9,36,169.392726
2019-05-08,14:45,WC_HWY,0.710242032,4.6,151.1,7.33,18.9,11.4,6.9,26.5,169.392726
2019-05-10,15:00,WC_HWY,1.120993433,3.2,123.5,6.9,11.6,9,5.4,21.5,169.392726
2019-05-22,14:50,WC_HWY,1.028314536,7.5,143.5,,5,11.4,6.1,25.1,169.392726
2019-05-27,01:00,WC_HWY,0.773303403,,,,3.6,12.9,6.8,28.5,169.392726
2019-07-02,14:57,WC_HWY,1.248964181,13.06,178,8.36,4.3,13.8,7.5,31.3,169.392726
2019-07-19,,WC_HWY,0.804490976,,,,2.8,14.1,7.4,31.2,169.392726
2019-07-19,16:35,WC_HWY,0.804490976,13.2,187.1,7.75,2.9,14.1,8.1,33.7,169.392726
2019-07-24,,WC_HWY,,,,,4,14.4,7.8,32.1,169.392726
2019-07-30,14:02,WC_HWY,1.289165885,11,138.4,8.36,3.2,14.7,7.7,32.3,169.392726
2019-09-05,13:10,WC_HWY,1.036339752,7.1,186.1,7.63,2.4,15.9,8.4,32.7,169.392726
2019-10-03,14:12,WC_HWY,0.810076301,-0.1,219.3,7.62,2.7,16.5,8.1,33,169.392726
2019-10-25,14:12,WC_HWY,0.691366812,-0.1,219.3,7.62,2.1,15.1,6.3,11.1,169.392726
2019-11-21,15:50,WC_HWY,0.52525869,-0.1,205.6,7.51,2.2,15.4,7.5,15.4,169.392726
2019-12-17,14:56,WC_HWY,0.392461682,-0.1,217.2,7.65,2.2,18,8.3,33.6,169.392726
2020-01-08,,WC_HWY,,,,,2.4,6.6,3.1,18.7,169.392726
2020-01-27,16:30,WC_HWY,0.265601896,-0.1,231.5,7.42,2.3,13.4,2.8,10.8,169.392726
2020-02-12,12:00,WC_HWY,0.260740401,-0.1,222.2,7.4,1.6,19.3,8.7,34.5,169.392726
2020-03-17,13:32,WC_HWY,0.251522538,0,229.6,7.85,1.5,19.5,8.9,36.2,169.392726
2020-04-09,12:30,WC_HWY,,3.1,114.7,7.24,1.3,19.3,8.6,34.4,169.392726
2020-04-21,,WC_HWY,,6.5,150.6,7.42,5.3,16.4,7.4,29.8,169.392726
2020-05-01,,WC_HWY,0.804102422,,,,7.4,14.1,7,28.3,169.392726
2020-05-12,,WC_HWY,1.750468059,7.6,139,7.95,12.3,8,4.7,18.9,169.392726
2020-05-22,15:30,WC_HWY,1.572740649,6.5,150.6,7.42,4.1,10.8,5.9,24.5,169.392726
2020-06-03,,WC_HWY,2.300089344,,,,7.8,13.5,6.9,29.6,169.392726
2020-06-25,14:00,WC_HWY,2.374173163,7.6,139,7.95,3.1,12.8,6.4,27,169.392726
2020-07-07,15:50,WC_HWY,2.15983987,9.9,147.7,7.59,3.3,11.4,5.8,24.1,169.392726
2020-07-19,15:08,WC_HWY,2.074465557,,,,3,13.2,6.3,26.9,169.392726
2020-07-23,18:05,WC_HWY,3.807843692,10.4,139.3,7.26,4.8,10.4,5.2,21.5,169.392726
2020-08-03,18:57,WC_HWY,2.068919069,11.2,161.6,7.71,3,11.7,5.7,24.6,169.392726
2020-08-03,18:57,WC_HWY,2.068919069,11.2,161.6,7.71,3.3,11.2,5.7,24.4,169.392726
2020-08-14,15:04,WC_HWY,1.861587069,8.4,169.3,7.36,2.9,13.1,6.1,26.1,169.392726
2020-08-21,14:30,WC_HWY,1.656252228,9.7,166.4,7.42,2.9,13.8,6.4,26.7,169.392726
2020-08-27,15:20,WC_HWY,1.775071666,7.6,166.7,7.16,2.8,13.6,6.4,26.9,169.392726
2020-09-03,16:25,WC_HWY,1.97289245,7.9,169.2,7.34,3,14.9,6.3,26.2,169.392726
2020-11-17,14:58,WC_HWY,,-0.1,206.9,6.93,2.6,18,8.1,32.8,169.392726
2020-12-22,14:40,WC_HWY,,-0.1,213.9,6.9,1.9,20,8.1,33.4,169.392726
2021-01-14,15:20,WC_HWY,,-0.1,217.8,7.42,1.4,18.6,8,32.2,169.392726
2021-02-16,15:47,WC_HWY,,-0.1,226.7,7.86,1.9,19.5,8.6,34.5,169.392726
2021-03-17,14:23,WC_HWY,,-0.1,234.5,,1.6,20.8,8.5,34.2,169.392726
2021-04-13,15:22,WC_HWY,,-0.1,226.1,,1.3,18.8,8.7,35.3,169.392726
2021-05-19,,WC_HWY,1.883841605,,,,8.1,7.2,4.3,19.2,169.392726
2021-05-19,15:15,WC_HWY,1.883841605,4.5,134.5,,8.8,7.5,4.2,18.6,169.392726
2021-06-01,12:09,WC_HWY,3.539040372,3.8,109.2,,6.3,5.9,3.3,15.1,169.392726
2021-06-11,14:38,WC_HWY,4.067239536,7.7,155.8,8.02,3.6,9.9,4.6,22.1,169.392726
2021-06-25,20:27,WC_HWY,3.833520309,,,,3.1,10.3,4.5,21.9,169.392726
2021-06-29,18:01,WC_HWY,3.151254165,14.5,153.4,8.07,3.1,11.3,4.4,22.5,169.392726
2021-07-15,15:57,WC_HWY,1.979595235,9.9,168,8.12,2.7,12.4,5.3,24.5,169.392726
2021-08-09,11:51,WC_HWY,1.704471012,9.2,178.1,7.99,2.5,13.9,6,26.4,169.392726
2021-09-15,19:21,WC_HWY,1.510671225,6,182.7,8.09,2.6,14.8,6.2,27,169.392726
2021-09-29,15:23,WC_HWY,1.391099291,2.3,187.7,7.63,2.5,14.3,5.1,24.9,169.392726
2021-10-14,16:16,WC_HWY,1.113129491,1.7,193.9,7.93,2.5,15.1,5.4,26.1,169.392726
2021-11-09,14:16,WC_HWY,,-0.2,238.8,8.13,2.7,21.1,7.1,32.5,169.392726
2021-11-26,,WC_HWY,,,,,1.9,18.5,6.3,29.2,169.392726
2021-12-20,14:38,WC_HWY,,-0.2,222.5,8.06,1.6,18,6.2,29.4,169.392726
2022-01-14,15:07,WC_HWY,,-0.2,223.2,8.03,1.6,17.7,6.6,30.4,169.392726
2022-02-23,15:03,WC_HWY,,-0.2,228.1,,1.8,17.7,6.7,31.4,169.392726
2022-03-17,11:11,WC_HWY,,-0.1,233.4,8.07,2.4,19,6.6,30.5,169.392726
2022-05-20,12:42,WC_HWY,,2.42,202,7.7,6.1,,,,169.392726
2022-06-03,13:05,WC_HWY,5.722480935,4.72,105,7.28,7.4,4.9,1.8,11,169.392726
2022-06-06,17:00,WC_HWY,9.50085395,,,,6.4,5.5,1.6,10.7,169.392726
2022-06-09,16:30,WC_HWY,10.55879259,6.411,104.1,7.73,5.2,7.6,2.1,12.4,169.392726
2022-06-15,15:10,WC_HWY,9.294105553,,,,4.2,9.8,3.6,19.7,169.392726
2022-06-17,15:15,WC_HWY,7.738060045,,,,4,9.5,3,17.3,169.392726
2022-06-20,17:20,WC_HWY,6.223091833,,,,3.6,10.3,3.5,19.5,169.392726
2022-06-23,12:40,WC_HWY,6.114266689,,,,3.7,9.3,3.2,18,169.392726
2022-07-01,11:45,WC_HWY,5.315697708,,,,3.7,10.5,3.5,19.5,169.392726
